Date	Time	Severity	PID	TID	Function	Message
21-08-2026	18:46:20.759	 INFO	 12352	 25900	DllMain	"Log opened. Compiled = 16:54:43, Version = 26.14.15, Build = 13991246, Commit = 567c226c5f414425d167aff6784beecd22cb024f"
21-08-2026	18:46:20.761	 INFO	 12352	  9528	InitializeCurrentProcessInfo	" ImagePath : C:\Users\Saurabh Shinde\.codex\.sandbox-bin\codex-command-runner-0.149.0-alpha.4.exe Commandline : ""C:\Users\Saurabh Shinde\.codex\.sandbox-bin\codex-command-runner-0.149.0-alpha.4.exe"" --pipe-in=\\.\pipe\codex-runner-50881f0089326054692309c7b13fd959-in --pipe-out=\\.\pipe\codex-runner-50881f0089326054692309c7b13fd959-out x64, 0|0|0"
21-08-2026	18:46:20.797	 INFO	 12352	  9528	ProcessEdlpPolicy	"Label Id :NonWork (2)"
21-08-2026	18:46:21.036	 INFO	 12352	  9528	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
21-08-2026	18:46:21.036	 INFO	 12352	  9528	Injector	"PolicyVersion : 1785530314"
21-08-2026	18:46:21.863	 INFO	 12352	 18560	DllMain	"DLL_PROCESS_DETACH "
21-08-2026	18:50:59.075	 INFO	 26196	 13028	DllMain	"Log opened. Compiled = 16:54:43, Version = 26.14.15, Build = 13991246, Commit = 567c226c5f414425d167aff6784beecd22cb024f"
21-08-2026	18:50:59.077	 INFO	 26196	  7224	InitializeCurrentProcessInfo	" ImagePath : C:\Users\Saurabh Shinde\.codex\.sandbox-bin\codex-command-runner-0.149.0-alpha.4.exe Commandline : ""C:\Users\Saurabh Shinde\.codex\.sandbox-bin\codex-command-runner-0.149.0-alpha.4.exe"" --pipe-in=\\.\pipe\codex-runner-9b931a39293dbc883e612c294fdd29d2-in --pipe-out=\\.\pipe\codex-runner-9b931a39293dbc883e612c294fdd29d2-out x64, 0|0|0"
21-08-2026	18:50:59.106	 INFO	 26196	  7224	ProcessEdlpPolicy	"Label Id :NonWork (2)"
21-08-2026	18:50:59.327	 INFO	 26196	  7224	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
21-08-2026	18:50:59.328	 INFO	 26196	  7224	Injector	"PolicyVersion : 1785530314"
21-08-2026	18:51:02.117	 INFO	 26196	  1056	DllMain	"DLL_PROCESS_DETACH "
