Date	Time	Severity	PID	TID	Function	Message
21-08-2026	18:46:20.944	 INFO	 12352	  9528	DllMain	"Log opened. Compiled = 16:54:43, Version = 26.14.15, Build = 13991246, Commit = 567c226c5f414425d167aff6784beecd22cb024f"
21-08-2026	18:46:20.945	 INFO	 12352	  9528	DllMain	"DLL_PROCESS_ATTACH"
21-08-2026	18:46:20.946	 INFO	 12352	  9528	ProcessDetours	"PrintMonitorChannelBlock:1"
21-08-2026	18:46:20.947	 INFO	 12352	  9528	DllMain	"PROCESS ATTACHED"
21-08-2026	18:46:20.948	 INFO	 12352	 20784	LateInitialization	"Intialization..."
21-08-2026	18:46:20.949	 INFO	 12352	 20784	LoadDisplayDevicesName	"DisplayDevices : "
21-08-2026	18:46:20.958	 INFO	 12352	 20784	LoadDisplayDevicesName	"\\.\DISPLAY1"
21-08-2026	18:46:20.960	 INFO	 12352	 20784	LoadDisplayDevicesName	"\\.\DISPLAY2"
21-08-2026	18:46:20.962	 INFO	 12352	 20784	LoadDisplayDevicesName	"\\.\DISPLAY3"
21-08-2026	18:46:21.861	 INFO	 12352	 18560	DllMain	"DLL_PROCESS_DETACH"
21-08-2026	18:46:21.861	 INFO	 12352	 18560	DllMain	"PROCESS DETACHED"
21-08-2026	18:50:59.232	 INFO	 26196	  7224	DllMain	"Log opened. Compiled = 16:54:43, Version = 26.14.15, Build = 13991246, Commit = 567c226c5f414425d167aff6784beecd22cb024f"
21-08-2026	18:50:59.232	 INFO	 26196	  7224	DllMain	"DLL_PROCESS_ATTACH"
21-08-2026	18:50:59.233	 INFO	 26196	  7224	ProcessDetours	"PrintMonitorChannelBlock:1"
21-08-2026	18:50:59.234	 INFO	 26196	  7224	DllMain	"PROCESS ATTACHED"
21-08-2026	18:50:59.235	 INFO	 26196	 11176	LateInitialization	"Intialization..."
21-08-2026	18:50:59.237	 INFO	 26196	 11176	LoadDisplayDevicesName	"DisplayDevices : "
21-08-2026	18:50:59.237	 INFO	 26196	 11176	LoadDisplayDevicesName	"\\.\DISPLAY1"
21-08-2026	18:50:59.238	 INFO	 26196	 11176	LoadDisplayDevicesName	"\\.\DISPLAY2"
21-08-2026	18:50:59.239	 INFO	 26196	 11176	LoadDisplayDevicesName	"\\.\DISPLAY3"
21-08-2026	18:51:02.114	 INFO	 26196	  1056	DllMain	"DLL_PROCESS_DETACH"
21-08-2026	18:51:02.115	 INFO	 26196	  1056	DllMain	"PROCESS DETACHED"
